"","NAME_1","CellsAf1","CellsAm2","CellsAw3","CellsBWh4","CellsBSh6","CellsCsb9","CellsCsc10","CellsCwb12","CellsCwc13","CellsCfb15","CellsCfc16","CellsET29","CellsEF30","TotalCellNb","PolarFreq","AridFreq","TropicalFreq","TemperateFreq","MainClimate"
"33","Bogotá, D.C.",0,0,0,0,0,322,9,0,0,482,11,1114,0,1938,0.574819401444788,0,0,0.425180598555212,"Polar"
"1","Amazonas",125778,0,0,0,0,0,0,0,0,0,0,0,0,125778,0,0,1,0,"Tropical"
"12","Antioquia",50410,7674,998,0,0,0,0,0,0,15054,3,284,0,74423,0.00381602461604611,0,0.793867487201537,0.202316488182417,"Tropical"
"23","Arauca",928,11591,15287,0,0,322,11,0,0,165,0,765,0,29069,0.0263166947607417,0,0.956551652963638,0.0171316522756201,"Tropical"
"27","Atlántico",0,0,4886,0,376,0,0,0,0,0,0,0,0,5262,0,0.0714557202584569,0.928544279741543,0,"Tropical"
"28","Bolívar",5442,12119,13224,0,0,0,0,0,0,19,0,0,0,30804,0,0,0.999383196987404,0.000616803012595767,"Tropical"
"29","Boyacá",4838,3253,328,0,0,10858,168,0,0,2873,56,5103,4,27481,0.185837487718788,0,0.306357119464357,0.507805392816855,"Temperate"
"30","Caldas",5514,0,0,0,0,0,0,0,0,2700,12,629,0,8855,0.0710333145115754,0,0.622699040090344,0.30626764539808,"Tropical"
"31","Caquetá",100105,1568,0,0,0,0,0,0,0,3754,0,49,0,105476,0.000464560658348819,0,0.963944404414274,0.0355910349273768,"Tropical"
"32","Casanare",0,49353,2193,0,0,833,1,0,0,0,0,50,0,52430,0.000953652489032996,0,0.983139423993897,0.0159069235170704,"Tropical"
"2","Cauca",16210,3964,579,0,0,290,0,0,0,10015,53,3032,2,34145,0.0888563479279543,0,0.607790306047738,0.303353346024308,"Tropical"
"3","Cesar",4,3890,20929,0,0,3,0,1502,1,458,1,394,0,27182,0.0144948863218306,0,0.913214627326908,0.0722904863512619,"Tropical"
"4","Chocó",49608,3165,0,0,0,0,0,0,0,425,0,1,0,53199,1.8797345814771e-05,0,0.991992330682908,0.00798887197127766,"Tropical"
"5","Córdoba",5800,10449,13205,0,0,0,0,0,0,11,0,0,0,29465,0,0,0.999626675716952,0.000373324283047684,"Tropical"
"6","Cundinamarca",8925,3862,284,0,0,4531,69,0,0,7630,0,3308,0,28609,0.115627949246741,0,0.456884197280576,0.427487853472683,"Tropical"
"7","Guainía",80618,0,0,0,0,0,0,0,0,0,0,0,0,80618,0,0,1,0,"Tropical"
"8","Guaviare",41441,23622,0,0,0,0,0,0,0,0,0,0,0,65063,0,0,1,0,"Tropical"
"9","Huila",7916,3108,1607,0,0,0,0,0,0,9818,6,1327,0,23782,0.0557985030695484,0,0.531115970061391,0.413085526869061,"Tropical"
"10","La Guajira",0,328,10833,8658,3688,0,0,1090,2,32,0,432,0,25063,0.0172365638590751,0.492598651398476,0.445317799146152,0.0448469855962973,"Tropical"
"11","Magdalena",0,1136,22048,0,136,0,0,1356,3,64,0,820,37,25600,0.0334765625,0.0053125,0.905625,0.0555859375,"Tropical"
"13","Meta",19778,74515,3,0,0,15,0,0,0,4089,33,1558,0,99991,0.0155814023262094,0,0.943044874038663,0.0413737236351272,"Tropical"
"14","Nariño",23353,1636,448,0,0,1283,3,1,0,7666,127,2840,0,37357,0.0760232352704982,0,0.680916561822416,0.243060202907086,"Tropical"
"15","Norte de Santander",8756,7001,2130,0,1,92,3,160,0,7056,29,1713,0,26941,0.063583385917375,3.71181470620987e-05,0.663932296499759,0.272447199435804,"Tropical"
"16","Putumayo",26449,0,0,0,0,0,0,0,0,1767,7,249,0,28472,0.00874543411070525,0,0.928947738128688,0.0623068277606069,"Tropical"
"17","Quindío",1137,0,0,0,0,0,0,0,0,773,0,123,0,2033,0.0605017215937039,0,0.559272011805214,0.380226266601082,"Tropical"
"18","Risaralda",2916,0,0,4,0,0,0,0,0,1510,0,325,0,4755,0.0683491062039958,0.000841219768664564,0.613249211356467,0.317560462670873,"Tropical"
"19","San Andrés y Providencia",0,47,0,0,0,0,0,12,0,0,0,0,0,59,0,0,0.796610169491525,0.203389830508475,"Tropical"
"20","Santander",17966,7376,1402,0,0,644,6,0,0,6687,35,1551,0,35667,0.0434855749011691,0,0.749824767992822,0.206689657106008,"Tropical"
"21","Sucre",0,2911,9879,0,0,0,0,0,0,0,0,0,0,12790,0,0,1,0,"Tropical"
"22","Tolima",11260,5639,133,0,0,0,0,0,0,6062,19,4321,8,27442,0.157750892792071,0,0.620654471248451,0.221594635959478,"Tropical"
"24","Valle del Cauca",15991,1813,1895,0,0,0,0,0,0,4967,13,1105,0,25784,0.0428560347502327,0,0.764000930809805,0.193143034439963,"Tropical"
"25","Vaupés",62285,0,0,0,0,0,0,0,0,0,0,0,0,62285,0,0,1,0,"Tropical"
"26","Vichada",21999,96155,135,0,0,0,0,0,0,0,0,0,0,118289,0,0,1,0,"Tropical"
